"action.activitystream.comment","コメントを書く"
"action.activitystream.comment.submit","コメント"
"action.activitystream.item.assign","割当て"
"action.activitystream.item.cancel","キャンセル"
"action.activitystream.item.comment","コメント"
"action.activitystream.item.previouslyresolved","{0} 以前解決済み"
"action.activitystream.item.resolve","解決"
"action.activitystream.item.resume","通知を再開"
"action.activitystream.item.suspend","通知を一時停止"
"action.activitystream.log.showstacktrace","エラー詳細を表示"
"action.activitystream.showmore","もっと見る"
"action.add","追加"
"action.back","戻る"
"action.backup.addschedule","新規スケジュールを追加"
"action.backup.backupnow","すぐにバックアップ"
"action.backup.edit","編集"
"action.cancel","キャンセル"
"action.change","変更"
"action.cleanup.cancelrunningcleanup","実行中のクリーアップをキャンセル"
"action.cleanup.cleanupnow","すぐにクリーンアップ"
"action.clear","クリア"
"action.component.addrecipients","通知を追加"
"action.component.changeloglevel","ログレベルを変更"
"action.component.changethresholds","通知の閾値を変更"
"action.component.customthresholds.change","変更"
"action.component.loglevelcancel","キャンセル"
"action.component.loglevelchange","変更"
"action.component.messagescountreset","リセット"
"action.component.notification.banner.description","このコンポーネント通知は次の時刻まで一時停止されています"
"action.component.notification.banner.resume","通知を再開"
"action.component.notification.cancel","キャンセル"
"action.component.notification.change","変更"
"action.component.notification.configuration.discardchanges","変更を無効にする"
"action.component.notification.suspend","一次停止中"
"action.component.notification.suspendall","全てを一時停止"
"action.component.notificationthresholds.add","追加"
"action.component.notificationthresholds.addtimeperiod","期間を追加"
"action.component.notificationthresholds.atallothertimes","他のすべての期間で"
"action.component.notificationthresholds.atalltimes","すべての期間で"
"action.component.notificationthresholds.cancel","キャンセル"
"action.component.notificationthresholds.custom","カスタム"
"action.component.notificationthresholds.default","Default"
"action.component.notificationthresholds.discardchanges","変更を無効にする"
"action.component.notificationthresholds.keep","保持"
"action.component.notificationthresholds.removetimeperiod","選択された期間を消去"
"action.component.notificationthresholds.resettodefaults","既定値に戻す"
"action.component.notificationthresholds.usedefaultsettings","デフォルト設定を使用"
"action.component.resetcounters","カウンターをリセット"
"action.component.restart","再起動"
"action.component.resumenotifications","通知を再開"
"action.component.selection.selectfrompicklist","ピック・リストから選択"
"action.component.start","起動"
"action.component.stop","停止"
"action.component.suspendnotifications","通知を一時停止"
"action.component.tree.collapseall","すべて折りたたむ"
"action.component.tree.expandall","すべて展開"
"action.component.view","閲覧"
"action.component.viewarchive","アーカイブを閲覧"
"action.component.viewerrormessages","エラーメッセージを閲覧"
"action.component.viewinputarchive","インプット・アーカイブを閲覧"
"action.component.viewlogfile","ログファイルを閲覧"
"action.component.viewoutputarchive","アウトプット・アーカイブを閲覧"
"action.delete","削除"
"action.discardchanges","変更を無効にする"
"action.disconnect","切断"
"action.download","ダウンロード"
"action.enginemonitor.viewwatchlistsettings","設定"
"action.enginemonitor.watchlists.create","ウォッチリストを作成"
"action.export","エクスポート"
"action.graph.daterange.1hr","1時間"
"action.graph.daterange.24hrs","24時間"
"action.graph.daterange.30days","30日間"
"action.graph.daterange.60days","60日間"
"action.graph.daterange.7days","7日間"
"action.graph.daterange.all","全て"
"action.import","インポート"
"action.less","減らす"
"action.log.export.showlightbox","ログをエクスポート"
"action.lookupdetails.add","値を追加する"
"action.lookupdetails.backtotables","ルックアップテーブルに戻る"
"action.lookupdetails.edit","編集"
"action.lookupdetails.export","エクスポート"
"action.lookupdetails.import","インポート"
"action.lookupfailures.cleanup","すぐにクリーンアップ"
"action.lookupfailures.export","エクスポート"
"action.more","もっと見る"
"action.notificationdeliverymethods.email.notavailable","メール配信設定が行われていません。"
"action.notificationdeliverymethods.email.sendtest","テストメールを送信"
"action.notificationdeliverymethods.pager.sendtest","テストポケベルを送信"
"action.notificationdeliverymethods.sms.sendtest","テストSMSを送信"
"action.notificationdeliverymethods.snmp.sendtest","テスト通知を送信"
"action.preview","プレビュー"
"action.recentsearch.clearall","すべてクリア"
"action.recentsearches.view","閲覧"
"action.refresh","更新"
"action.reload","リフレッシュ"
"action.remove","消去"
"action.removeall","すべて消去"
"action.rename","名前の変更"
"action.reset","リセット"
"action.restart","再起動"
